,hitokoto,from
0,人生能有几回搏？现在不搏更待何时？珍惜机遇吧，让金色的年华碰撞出更加灿烂的火花！,如果不会飞翔，理想的翅膀反倒成了生活的累赘。
1,让我们一起共勉，互相支持，让我们跑得更快，跑得更好吧！哪怕路上有风雨，哪怕途中有坎坷，只要不放弃奔跑，不放弃对自我的修行，我们终究会创造属于自己的生命奇迹！,自信就如一副眼镜，帮助近视的人打开光明之路；自信就如一台电脑帮助无知的人们开阔视野；自信就如一台学习机，帮助学习差的同学提高成绩；
2,人生是个圆，有的人走了一辈子也没有走出命运画出的圆圈，其实，圆上的每一个点都有一条腾飞的切线。,买得起自己喜欢的东西，去得了自己想去的地方，不会因为身边人的来或走损失生活的质量，反而会因为花自己的钱，来得更有底气一些，这就是应该更努力的原因。
3,目标的实现建立在“我要成功”的强烈愿望上。,退一步，并不象征我认输；放手，并不表示我放弃；微笑，并不意味我快乐！
4,在你内心深处，还有无穷的潜力，有一天当你回首看时，你就会知道这绝对是真的。,人生只有经历酸甜苦辣，才懂得人间的味道，因此也必须学会珍惜人生和珍惜感情。
5,用理想去成就人生，不要蹉跎了岁月。,学习这件事，不是缺乏时间，而是缺乏努力。
6,与积极的人在一起，可以让我们心情高昂。,不再妄想，没了那么多的渴望也就不会失望。
7,所谓内心的快乐，是一个人过着健全的正常的和谐的生活所感人生所有的欢乐是创造的欢乐：爱情天才行动——全靠创造这一团烈火进射出来的。,人生能有几回搏？现在不搏更待何时？珍惜机遇吧，让金色的年华碰撞出更加灿烂的火花！
8,信念是一把无坚不摧的利刃。,那些属于我们的青春故事幸福，如今，都不复存在了，现在我们又有什么渴望的呢?
9,钉子有两个长处：一个是“挤”劲，一个是“钻”劲。我们在学习上，也要提倡这种“钉子”精神，善于挤和钻。,处事不必求功，无过便是功。为人不必感德，无怨便是德。
10,当一个人真正觉悟的一刻，他放弃追寻外在世界的财富，而开始追寻他内心世界的真正财富。,不管学历如何，读书多了，内心充实，精神自然丰富。不管长相如何，锻炼久了，减脂塑形，精自然充沛，然后你会遇见全新的自己。
11,没有伞的孩子必须努力奔跑！,提起青春，人们会想到初升的太阳；说起青春，人们会看到含苞待放的花蕾；谈起青春，人们会听到初春时的雨声。
12,不要被任何人打乱自的脚步，因为没有谁会像你一样清楚和在乎自己梦想。,美丽只有同谦虚结合在一起，才配称美丽。没有谦虚的美丽，不是美丽，顶多只能是好看。
13,世间最容易的事是坚持，最难的事也是坚持。要记住，坚持到底就是胜利。,低头哭过别忘了抬头继续走。
14,如果不想做点事情，就甭想到达这个世界上的任何地方。,人总是珍惜未得到的，而遗忘了所拥有的。
15,不要轻易用过去来衡量生活的幸与不幸!每个人的生命都是能够绽放美丽的，只要你珍惜。,不是境况造就人，而是人造就境况。
16,成功的道路上，肯定会有失败；对于失败，我们要正确地看待和对待，不怕失败者，则必成功；怕失败者，则一无是处，会更失败。,你的选择是做或不做，但不做就永远不会有机会。
17,世上只有想不通的人，没有走不通的路。,成功者和其他人最大的区别就是，他们真正动手去做了。
18,没有人值得你流泪，值得让你这么做的人不会让你哭泣。,要培养各方面的潜力，包括承受悲惨命运的潜力。
19,逆境给人宝贵的磨炼机会。只有经得起环境考验的人，才能算是真正的强者。自古以来的伟人，大多是抱着不屈不挠的精神，从逆境中挣扎奋斗过来的。,没有人陪你走一辈子，所以你要适应孤独，没有人会帮你一辈子，所以你要奋斗一生。
20,人之所以有一张嘴，而有两只耳朵，原因是听的要比说的多一倍。,我一直觉得，忧愁是好的，孤独也是好的，他们让我慢慢成长，变成一个与众不同的混蛋。
21,成功不是将来才有的，而是从决定去做的那一刻起，持续累积而成。,种子牢记着雨滴献身的叮嘱，增强了冒尖的气。
22,走得最慢的人，只要他不丧失目标，也比漫无目的地徘徊的人走得快。,眼泪不是答案，拼搏才是选择。只有回不了的过去，没有到不了的明天。
23,现在你不玩命的学，以后命玩你。,人有两条路要走， 一条是必须走的，一条是想走的，你必须把必须走的路走漂亮，才可以走想走的路。
24,你既然期望辉煌伟大的一生，那么就就应从今日起，以毫不动摇的决心和坚定不移的信念，凭自己的智慧和毅力，去创造你和人类的快乐。,我不怕痛苦，只怕丢掉倔强，我不怕磨难，只怕失去你。
25,最可怕的敌人，就是没有坚强的信念。,梦想从这刻起，并不只是个幻想，靠自己它能成为现实中的一部分。
26,一个人的意志力量不够推动他自己，他就失败，谁最能推动自己，谁就最先得到成功。,只做第一个我，不做第二个谁。
27,新的一天，新的开始，忘记昨日的悲伤，留住昨日的快乐。,低落只是情感的寄托罢了，单纯的情绪而已。
28,常求有利别人，不求有利自己。,如果惧怕前面跌宕的山岩，生命就永远只能是死水一潭。
29,虽然信念有时薄如蝉翼，但只要坚持，它会越来越厚的。,微笑拥抱每一天，做像向日葵般温暖的女子。
30,志在山顶的人，不会贪念山腰的风景。,能坚持别人不能坚持的，才能拥有别人不能拥有的。
31,只有脚踏实地的人，才能够说：路，就在我的脚下。,梦想是注定孤独的旅行，路上少不了质疑和嘲笑，但那又怎样，哪怕遍体鳞伤也要活的漂亮。
